T:	[01:18:54:295811]	*IDN?	R:	[01:18:54:506763]	ROBOT_PREMO, V1.0
T:	[01:18:54:537611]	*IDN_LASER?	R:	[01:18:54:883525]	LASER_MARKER_PREMO, V1.0
T:	[01:19:17:236978]	STATE?	R:	[01:19:17:242204]	0
T:	[01:28:57:258983]	STATE?	R:	[01:28:57:259124]	0
T:	[01:28:57:290364]	STATE?	R:	[01:28:57:290763]	0
T:	[01:28:57:591878]	STATE?	R:	[01:28:57:597105]	0
T:	[01:28:57:908506]	STATE?	R:	[01:28:57:908645]	0
T:	[01:28:58:233391]	STATE?	R:	[01:28:58:238671]	0
T:	[01:28:58:538799]	STATE?	R:	[01:28:58:544036]	0
T:	[01:28:58:842742]	STATE?	R:	[01:28:58:858080]	0
T:	[01:28:59:149036]	STATE?	R:	[01:28:59:154261]	0
T:	[01:28:59:458014]	STATE?	R:	[01:28:59:463525]	0
T:	[01:28:59:783056]	STATE?	R:	[01:28:59:783193]	0
T:	[01:29:00:089232]	STATE?	R:	[01:29:00:094449]	0
T:	[01:29:00:391354]	STATE?	R:	[01:29:00:396635]	1
T:	[01:29:00:706975]	STATE?	R:	[01:29:00:707102]	1
T:	[01:29:00:717378]	DUT_SERIAL_NB?	R:	[01:29:00:864303]	22\07\0912365

T:	[01:29:01:197981]	STATE?	R:	[01:29:01:198443]	1
T:	[01:29:01:217044]	MoveFromInpToHiPot	R:	[01:29:01:356069]	ACK
T:	[01:29:01:651557]	STATE?	R:	[01:29:01:651710]	1
T:	[01:29:01:952721]	STATE?	R:	[01:29:01:952871]	1
T:	[01:29:02:258714]	STATE?	R:	[01:29:02:268972]	1
T:	[01:29:02:559867]	STATE?	R:	[01:29:02:565313]	1
T:	[01:29:02:868336]	STATE?	R:	[01:29:02:868491]	1
T:	[01:29:03:170550]	STATE?	R:	[01:29:03:170701]	1
T:	[01:29:03:476777]	STATE?	R:	[01:29:03:487208]	1
T:	[01:29:03:785153]	STATE?	R:	[01:29:03:795796]	1
T:	[01:29:04:094653]	STATE?	R:	[01:29:04:100000]	1
T:	[01:29:04:400987]	STATE?	R:	[01:29:04:406228]	0
T:	[01:29:04:703953]	STATE?	R:	[01:29:04:704107]	0
T:	[01:29:05:009093]	STATE?	R:	[01:29:05:014325]	0
T:	[01:29:05:312397]	STATE?	R:	[01:29:05:317766]	0
T:	[01:29:05:615364]	STATE?	R:	[01:29:05:625703]	0
T:	[01:29:05:919050]	STATE?	R:	[01:29:05:919384]	0
T:	[01:29:06:229899]	STATE?	R:	[01:29:06:235162]	0
T:	[01:29:06:531081]	STATE?	R:	[01:29:06:541567]	0
T:	[01:29:06:837096]	STATE?	R:	[01:29:06:842417]	0
T:	[01:29:07:139384]	STATE?	R:	[01:29:07:150017]	0
T:	[01:29:07:444247]	STATE?	R:	[01:29:07:449477]	0
T:	[01:29:07:748197]	STATE?	R:	[01:29:07:758538]	0
T:	[01:29:08:049935]	STATE?	R:	[01:29:08:050135]	0
T:	[01:29:08:353554]	STATE?	R:	[01:29:08:361364]	0
T:	[01:29:08:655175]	STATE?	R:	[01:29:08:662872]	0
T:	[01:29:08:956279]	STATE?	R:	[01:29:08:956431]	0
T:	[01:29:09:261148]	STATE?	R:	[01:29:09:282130]	0
T:	[01:29:09:574085]	STATE?	R:	[01:29:09:574438]	2
T:	[01:29:09:882857]	STATE?	R:	[01:29:09:929194]	2
T:	[01:29:10:186771]	STATE?	R:	[01:29:10:186918]	2
T:	[01:29:10:494786]	STATE?	R:	[01:29:10:495007]	2
T:	[01:29:10:806593]	STATE?	R:	[01:29:10:806742]	2
T:	[01:29:11:109877]	STATE?	R:	[01:29:11:135558]	2
T:	[01:29:11:450283]	STATE?	R:	[01:29:11:450427]	2
T:	[01:29:11:760274]	STATE?	R:	[01:29:11:760411]	2
T:	[01:29:12:064484]	STATE?	R:	[01:29:12:064623]	2
T:	[01:29:12:370412]	STATE?	R:	[01:29:12:375625]	3
