T:	[00:13:48:305169]	*IDN?	R:	[00:13:48:432414]	ROBOT_PREMO, V1.0
T:	[00:13:48:442782]	*IDN_LASER?	R:	[00:13:48:572081]	LASER_MARKER_PREMO, V1.0
T:	[00:14:12:451680]	STATE?	R:	[00:14:12:482865]	0
T:	[00:18:22:585183]	STATE?	R:	[00:18:22:585386]	0
T:	[00:18:22:614238]	STATE?	R:	[00:18:22:639942]	0
T:	[00:18:22:917446]	STATE?	R:	[00:18:22:927722]	0
T:	[00:18:23:237657]	STATE?	R:	[00:18:23:237821]	0
T:	[00:18:23:543688]	STATE?	R:	[00:18:23:554118]	0
T:	[00:18:23:875096]	STATE?	R:	[00:18:23:875225]	0
T:	[00:18:24:202153]	STATE?	R:	[00:18:24:212423]	0
T:	[00:18:24:517704]	STATE?	R:	[00:18:24:517831]	0
T:	[00:18:24:834470]	STATE?	R:	[00:18:24:839749]	0
T:	[00:18:25:168731]	STATE?	R:	[00:18:25:168876]	0
T:	[00:18:25:474859]	STATE?	R:	[00:18:25:485411]	0
T:	[00:18:25:781041]	STATE?	R:	[00:18:25:781195]	0
T:	[00:18:26:106004]	STATE?	R:	[00:18:26:106147]	1
T:	[00:18:26:416952]	STATE?	R:	[00:18:26:422377]	1
T:	[00:18:26:427658]	DUT_SERIAL_NB?	R:	[00:18:26:645294]	22\07\0912365

T:	[00:18:27:024847]	STATE?	R:	[00:18:27:030084]	1
T:	[00:18:27:030215]	MoveFromInpToHiPot	R:	[00:18:27:036285]	ACK
T:	[00:18:27:344341]	STATE?	R:	[00:18:27:344541]	1
T:	[00:18:27:648225]	STATE?	R:	[00:18:27:648586]	1
T:	[00:18:27:950130]	STATE?	R:	[00:18:27:950358]	1
T:	[00:18:28:266037]	STATE?	R:	[00:18:28:266187]	1
T:	[00:18:28:569073]	STATE?	R:	[00:18:28:576416]	1
T:	[00:18:28:871668]	STATE?	R:	[00:18:28:882123]	1
T:	[00:18:29:176654]	STATE?	R:	[00:18:29:176943]	1
T:	[00:18:29:482317]	STATE?	R:	[00:18:29:487558]	1
T:	[00:18:29:788339]	STATE?	R:	[00:18:29:798627]	1
T:	[00:18:30:094559]	STATE?	R:	[00:18:30:115575]	0
T:	[00:18:30:409035]	STATE?	R:	[00:18:30:414311]	0
T:	[00:18:30:714180]	STATE?	R:	[00:18:30:734839]	0
T:	[00:18:31:024913]	STATE?	R:	[00:18:31:030339]	0
T:	[00:18:31:326230]	STATE?	R:	[00:18:31:331531]	0
T:	[00:18:31:628541]	STATE?	R:	[00:18:31:633810]	0
T:	[00:18:31:934303]	STATE?	R:	[00:18:31:934439]	0
T:	[00:18:32:241444]	STATE?	R:	[00:18:32:262018]	0
T:	[00:18:32:552139]	STATE?	R:	[00:18:32:562420]	0
T:	[00:18:32:855156]	STATE?	R:	[00:18:32:865502]	0
T:	[00:18:33:167248]	STATE?	R:	[00:18:33:167399]	0
T:	[00:18:33:469556]	STATE?	R:	[00:18:33:474844]	0
T:	[00:18:33:776509]	STATE?	R:	[00:18:33:776645]	0
T:	[00:18:34:081460]	STATE?	R:	[00:18:34:086677]	0
T:	[00:18:34:383653]	STATE?	R:	[00:18:34:388886]	0
T:	[00:18:34:686289]	STATE?	R:	[00:18:34:696396]	0
T:	[00:18:34:988626]	STATE?	R:	[00:18:34:988824]	0
T:	[00:18:35:291653]	STATE?	R:	[00:18:35:296889]	2
T:	[00:18:35:615712]	STATE?	R:	[00:18:35:615864]	2
T:	[00:18:35:920546]	STATE?	R:	[00:18:35:935978]	2
T:	[00:18:36:226266]	STATE?	R:	[00:18:36:226419]	2
T:	[00:18:36:532390]	STATE?	R:	[00:18:36:537605]	3
