T:	[18:42:11:347526]	*IDN?	R:	[18:42:11:571224]	ROBOT_PREMO, V1.0
T:	[18:42:11:619964]	*IDN_LASER?	R:	[18:42:11:949000]	LASER_MARKER_PREMO, V1.0
T:	[18:42:38:187655]	STATE?	R:	[18:42:38:193237]	0
T:	[18:45:14:490339]	STATE?	R:	[18:45:14:500794]	0
T:	[18:45:14:511237]	STATE?	R:	[18:45:14:521612]	0
T:	[18:45:14:812220]	STATE?	R:	[18:45:14:812584]	0
T:	[18:45:15:116394]	STATE?	R:	[18:45:15:116529]	0
T:	[18:45:15:433767]	STATE?	R:	[18:45:15:439035]	0
T:	[18:45:15:738758]	STATE?	R:	[18:45:15:744001]	0
T:	[18:45:16:060138]	STATE?	R:	[18:45:16:060275]	0
T:	[18:45:16:366990]	STATE?	R:	[18:45:16:377298]	0
T:	[18:45:16:677349]	STATE?	R:	[18:45:16:677735]	0
T:	[18:45:16:988013]	STATE?	R:	[18:45:16:988143]	0
T:	[18:45:17:304605]	STATE?	R:	[18:45:17:304741]	0
T:	[18:45:17:606699]	STATE?	R:	[18:45:17:611923]	0
T:	[18:45:17:911350]	STATE?	R:	[18:45:17:916570]	0
T:	[18:45:18:212870]	STATE?	R:	[18:45:18:218228]	0
T:	[18:45:18:529804]	STATE?	R:	[18:45:18:530150]	0
T:	[18:45:18:833766]	STATE?	R:	[18:45:18:833909]	0
T:	[18:45:19:148374]	STATE?	R:	[18:45:19:148504]	0
T:	[18:45:19:451942]	STATE?	R:	[18:45:19:452075]	0
T:	[18:45:19:763092]	STATE?	R:	[18:45:19:763225]	0
T:	[18:45:20:079568]	STATE?	R:	[18:45:20:079714]	0
T:	[18:45:20:386979]	STATE?	R:	[18:45:20:387140]	0
T:	[18:45:20:689089]	STATE?	R:	[18:45:20:694327]	0
T:	[18:45:21:000242]	STATE?	R:	[18:45:21:005470]	0
T:	[18:45:21:326714]	STATE?	R:	[18:45:21:347237]	0
T:	[18:45:21:639189]	STATE?	R:	[18:45:21:639342]	0
T:	[18:45:21:945336]	STATE?	R:	[18:45:21:945482]	0
T:	[18:45:22:252184]	STATE?	R:	[18:45:22:257409]	0
T:	[18:45:22:556947]	STATE?	R:	[18:45:22:572312]	0
T:	[18:45:22:864997]	STATE?	R:	[18:45:22:875599]	0
T:	[18:45:23:167390]	STATE?	R:	[18:45:23:176860]	0
T:	[18:45:23:485917]	STATE?	R:	[18:45:23:486050]	0
T:	[18:45:23:792026]	STATE?	R:	[18:45:23:797243]	0
T:	[18:45:24:114071]	STATE?	R:	[18:45:24:114213]	0
T:	[18:45:24:439883]	STATE?	R:	[18:45:24:440025]	0
T:	[18:45:24:749374]	STATE?	R:	[18:45:24:754579]	0
T:	[18:45:25:053469]	STATE?	R:	[18:45:25:053610]	0
T:	[18:45:25:365603]	STATE?	R:	[18:45:25:365762]	0
T:	[18:45:25:672096]	STATE?	R:	[18:45:25:672224]	0
T:	[18:45:25:998081]	STATE?	R:	[18:45:26:003290]	0
T:	[18:45:26:339199]	STATE?	R:	[18:45:26:339342]	0
T:	[18:45:26:645969]	STATE?	R:	[18:45:26:676902]	0
T:	[18:45:26:947857]	STATE?	R:	[18:45:26:953319]	0
T:	[18:45:27:254865]	STATE?	R:	[18:45:27:275180]	0
T:	[18:45:27:558720]	STATE?	R:	[18:45:27:559057]	0
T:	[18:45:27:863239]	STATE?	R:	[18:45:27:863363]	0
T:	[18:45:28:168541]	STATE?	R:	[18:45:28:168685]	0
T:	[18:45:28:471535]	STATE?	R:	[18:45:28:476757]	0
T:	[18:45:28:775865]	STATE?	R:	[18:45:28:786003]	0
T:	[18:45:29:091567]	STATE?	R:	[18:45:29:091699]	0
T:	[18:45:29:394362]	STATE?	R:	[18:45:29:399850]	0
T:	[18:45:29:699866]	STATE?	R:	[18:45:29:715366]	0
T:	[18:45:30:004132]	STATE?	R:	[18:45:30:016529]	0
T:	[18:45:30:309577]	STATE?	R:	[18:45:30:309710]	0
T:	[18:45:30:613078]	STATE?	R:	[18:45:30:613216]	0
T:	[18:45:30:922455]	STATE?	R:	[18:45:30:922582]	0
T:	[18:45:31:225416]	STATE?	R:	[18:45:31:266828]	0
T:	[18:45:31:527322]	STATE?	R:	[18:45:31:527622]	0
T:	[18:45:31:840468]	STATE?	R:	[18:45:31:845682]	0
T:	[18:45:32:150316]	STATE?	R:	[18:45:32:171219]	0
T:	[18:45:32:451486]	STATE?	R:	[18:45:32:451615]	0
T:	[18:45:32:767013]	STATE?	R:	[18:45:32:767420]	0
T:	[18:45:33:080129]	STATE?	R:	[18:45:33:080259]	0
T:	[18:45:33:402520]	STATE?	R:	[18:45:33:407750]	0
T:	[18:45:33:707699]	STATE?	R:	[18:45:33:712926]	0
T:	[18:45:34:013421]	STATE?	R:	[18:45:34:013553]	0
T:	[18:45:34:319485]	STATE?	R:	[18:45:34:319616]	0
T:	[18:45:34:631090]	STATE?	R:	[18:45:34:636550]	0
T:	[18:45:34:941755]	STATE?	R:	[18:45:34:941925]	0
T:	[18:45:35:243630]	STATE?	R:	[18:45:35:243757]	0
T:	[18:45:35:569276]	STATE?	R:	[18:45:35:569666]	0
T:	[18:45:35:872949]	STATE?	R:	[18:45:35:873077]	0
T:	[18:45:36:183360]	STATE?	R:	[18:45:36:188602]	0
T:	[18:45:36:487475]	STATE?	R:	[18:45:36:502772]	0
T:	[18:45:36:797572]	STATE?	R:	[18:45:36:797703]	0
T:	[18:45:37:100432]	STATE?	R:	[18:45:37:100747]	0
T:	[18:45:37:409315]	STATE?	R:	[18:45:37:409460]	0
T:	[18:45:37:711358]	STATE?	R:	[18:45:37:721739]	0
