T:	[04:51:32:837836]	*IDN?	R:	[04:51:32:998683]	ROBOT_PREMO, V1.0
T:	[04:51:33:009076]	*IDN_LASER?	R:	[04:51:33:343023]	LASER_MARKER_PREMO, V1.0
T:	[04:51:59:112488]	STATE?	R:	[04:51:59:112632]	0
T:	[04:56:35:617585]	STATE?	R:	[04:56:35:617922]	0
T:	[04:56:35:650696]	STATE?	R:	[04:56:35:650865]	0
T:	[04:56:35:982338]	STATE?	R:	[04:56:35:992897]	0
T:	[04:56:36:286465]	STATE?	R:	[04:56:36:296862]	0
T:	[04:56:36:599647]	STATE?	R:	[04:56:36:604918]	0
T:	[04:56:36:901660]	STATE?	R:	[04:56:36:906950]	0
T:	[04:56:37:207772]	STATE?	R:	[04:56:37:213153]	0
T:	[04:56:37:513567]	STATE?	R:	[04:56:37:513711]	0
T:	[04:56:37:824780]	STATE?	R:	[04:56:37:830043]	0
T:	[04:56:38:134162]	STATE?	R:	[04:56:38:144899]	0
T:	[04:56:38:441870]	STATE?	R:	[04:56:38:452168]	1
T:	[04:56:38:746980]	STATE?	R:	[04:56:38:747171]	1
T:	[04:56:38:768111]	DUT_SERIAL_NB?	R:	[04:56:39:041694]	22\07\0912365

T:	[04:56:39:417953]	STATE?	R:	[04:56:39:423463]	1
T:	[04:56:39:428685]	MoveFromInpToHiPot	R:	[04:56:39:532172]	ACK
T:	[04:56:39:843723]	STATE?	R:	[04:56:39:853977]	1
T:	[04:56:40:153590]	STATE?	R:	[04:56:40:153714]	1
T:	[04:56:40:456298]	STATE?	R:	[04:56:40:461610]	1
T:	[04:56:40:766729]	STATE?	R:	[04:56:40:767135]	1
T:	[04:56:41:071958]	STATE?	R:	[04:56:41:072577]	1
T:	[04:56:41:376827]	STATE?	R:	[04:56:41:377093]	1
T:	[04:56:41:678241]	STATE?	R:	[04:56:41:678593]	1
T:	[04:56:41:984464]	STATE?	R:	[04:56:41:984595]	1
T:	[04:56:42:295526]	STATE?	R:	[04:56:42:301081]	1
T:	[04:56:42:601612]	STATE?	R:	[04:56:42:606879]	0
T:	[04:56:42:907624]	STATE?	R:	[04:56:42:907756]	0
T:	[04:56:43:219206]	STATE?	R:	[04:56:43:224421]	0
T:	[04:56:43:530339]	STATE?	R:	[04:56:43:530467]	0
T:	[04:56:43:837916]	STATE?	R:	[04:56:43:838055]	0
T:	[04:56:44:139773]	STATE?	R:	[04:56:44:145043]	0
T:	[04:56:44:442655]	STATE?	R:	[04:56:44:447934]	0
T:	[04:56:44:744806]	STATE?	R:	[04:56:44:755167]	0
T:	[04:56:45:061700]	STATE?	R:	[04:56:45:066910]	0
T:	[04:56:45:366943]	STATE?	R:	[04:56:45:367088]	0
T:	[04:56:45:677799]	STATE?	R:	[04:56:45:688046]	0
T:	[04:56:45:983771]	STATE?	R:	[04:56:45:989201]	0
T:	[04:56:46:293420]	STATE?	R:	[04:56:46:293621]	0
T:	[04:56:46:596776]	STATE?	R:	[04:56:46:602090]	0
T:	[04:56:46:903018]	STATE?	R:	[04:56:46:903199]	0
T:	[04:56:47:224056]	STATE?	R:	[04:56:47:225133]	0
T:	[04:56:47:556395]	STATE?	R:	[04:56:47:556532]	2
T:	[04:56:47:869915]	STATE?	R:	[04:56:47:885514]	2
T:	[04:56:48:170996]	STATE?	R:	[04:56:48:176201]	2
T:	[04:56:48:478432]	STATE?	R:	[04:56:48:483641]	2
T:	[04:56:48:783129]	STATE?	R:	[04:56:48:798854]	2
T:	[04:56:49:085547]	STATE?	R:	[04:56:49:101078]	2
T:	[04:56:49:396693]	STATE?	R:	[04:56:49:402171]	2
T:	[04:56:49:698564]	STATE?	R:	[04:56:49:698878]	2
T:	[04:56:50:003610]	STATE?	R:	[04:56:50:009757]	2
T:	[04:56:50:319631]	STATE?	R:	[04:56:50:324832]	3
T:	[04:56:50:624885]	STATE?	R:	[04:56:50:650683]	3
T:	[04:56:50:934426]	STATE?	R:	[04:56:50:934577]	3
T:	[04:56:51:244677]	STATE?	R:	[04:56:51:259932]	3
T:	[04:56:51:555994]	STATE?	R:	[04:56:51:556111]	3
T:	[04:56:51:867702]	STATE?	R:	[04:56:51:872923]	3
T:	[04:56:52:178527]	STATE?	R:	[04:56:52:178840]	3
T:	[04:56:52:481790]	STATE?	R:	[04:56:52:481929]	3
T:	[04:56:52:784596]	STATE?	R:	[04:56:52:784721]	3
T:	[04:56:53:093910]	STATE?	R:	[04:56:53:104661]	3
T:	[04:56:53:400997]	STATE?	R:	[04:56:53:401133]	3
T:	[04:56:53:702868]	STATE?	R:	[04:56:53:708074]	3
T:	[04:56:54:009199]	STATE?	R:	[04:56:54:019468]	3
T:	[04:56:54:329767]	STATE?	R:	[04:56:54:329903]	3
T:	[04:56:54:636158]	STATE?	R:	[04:56:54:661833]	3
T:	[04:56:54:945206]	STATE?	R:	[04:56:54:970986]	3
T:	[04:56:55:251381]	STATE?	R:	[04:56:55:251571]	3
T:	[04:56:55:560302]	STATE?	R:	[04:56:55:570883]	3
T:	[04:56:55:923836]	STATE?	R:	[04:56:55:939087]	3
T:	[04:56:56:235017]	STATE?	R:	[04:56:56:235183]	3
T:	[04:56:56:545006]	STATE?	R:	[04:56:56:550541]	3
T:	[04:56:56:849875]	STATE?	R:	[04:56:56:850005]	3
T:	[04:56:57:166529]	STATE?	R:	[04:56:57:177091]	3
T:	[04:56:57:477513]	STATE?	R:	[04:56:57:477648]	3
T:	[04:56:57:794806]	STATE?	R:	[04:56:57:794941]	3
T:	[04:56:58:101008]	STATE?	R:	[04:56:58:101215]	3
T:	[04:56:58:402080]	STATE?	R:	[04:56:58:422441]	3
T:	[04:56:58:718987]	STATE?	R:	[04:56:58:719291]	3
T:	[04:56:59:042571]	STATE?	R:	[04:56:59:052731]	3
