T:	[14:08:09:761447]	*IDN?	R:	[14:08:09:873694]	ROBOT_PREMO, V1.0
T:	[14:08:09:979252]	*IDN_LASER?	R:	[14:08:10:190132]	LASER_MARKER_PREMO, V1.0
T:	[14:08:32:888914]	STATE?	R:	[14:08:32:894414]	0
T:	[14:11:44:177543]	STATE?	R:	[14:11:44:177687]	0
T:	[14:11:44:208114]	STATE?	R:	[14:11:44:208242]	0
T:	[14:11:44:520040]	STATE?	R:	[14:11:44:520187]	0
T:	[14:11:44:830011]	STATE?	R:	[14:11:44:830162]	0
T:	[14:11:45:141334]	STATE?	R:	[14:11:45:141523]	0
T:	[14:11:45:451337]	STATE?	R:	[14:11:45:451706]	0
T:	[14:11:45:754370]	STATE?	R:	[14:11:45:754852]	0
T:	[14:11:46:074925]	STATE?	R:	[14:11:46:080154]	0
T:	[14:11:46:412612]	STATE?	R:	[14:11:46:412775]	0
T:	[14:11:46:722171]	STATE?	R:	[14:11:46:727552]	0
T:	[14:11:47:038469]	STATE?	R:	[14:11:47:043874]	1
T:	[14:11:47:360024]	STATE?	R:	[14:11:47:360779]	1
T:	[14:11:47:371332]	DUT_SERIAL_NB?	R:	[14:11:47:547576]	22\07\0912362

T:	[14:11:47:880341]	STATE?	R:	[14:11:47:880501]	1
T:	[14:11:47:895916]	MoveFromInpToHiPot	R:	[14:11:48:099670]	ACK
T:	[14:11:48:405140]	STATE?	R:	[14:11:48:410378]	1
T:	[14:11:48:709209]	STATE?	R:	[14:11:48:714441]	1
T:	[14:11:49:014558]	STATE?	R:	[14:11:49:019799]	1
T:	[14:11:49:320551]	STATE?	R:	[14:11:49:324088]	1
T:	[14:11:49:622214]	STATE?	R:	[14:11:49:622510]	1
T:	[14:11:49:928024]	STATE?	R:	[14:11:49:928169]	1
T:	[14:11:50:233258]	STATE?	R:	[14:11:50:233417]	1
T:	[14:11:50:538066]	STATE?	R:	[14:11:50:538234]	1
T:	[14:11:50:842136]	STATE?	R:	[14:11:50:852576]	1
T:	[14:11:51:153441]	STATE?	R:	[14:11:51:158731]	0
T:	[14:11:51:460169]	STATE?	R:	[14:11:51:469123]	0
T:	[14:11:51:768238]	STATE?	R:	[14:11:51:773585]	0
T:	[14:11:52:069638]	STATE?	R:	[14:11:52:069785]	0
T:	[14:11:52:373142]	STATE?	R:	[14:11:52:373302]	0
T:	[14:11:52:677459]	STATE?	R:	[14:11:52:677591]	0
T:	[14:11:52:986789]	STATE?	R:	[14:11:52:986933]	0
T:	[14:11:53:289031]	STATE?	R:	[14:11:53:289173]	0
T:	[14:11:53:597025]	STATE?	R:	[14:11:53:597183]	0
T:	[14:11:53:901351]	STATE?	R:	[14:11:53:901497]	0
T:	[14:11:54:207889]	STATE?	R:	[14:11:54:208037]	0
T:	[14:11:54:510345]	STATE?	R:	[14:11:54:510550]	0
T:	[14:11:54:816490]	STATE?	R:	[14:11:54:816636]	0
T:	[14:11:55:123481]	STATE?	R:	[14:11:55:128712]	0
T:	[14:11:55:426834]	STATE?	R:	[14:11:55:427042]	0
T:	[14:11:55:742833]	STATE?	R:	[14:11:55:742968]	0
T:	[14:11:56:043824]	STATE?	R:	[14:11:56:044232]	0
T:	[14:11:56:348485]	STATE?	R:	[14:11:56:358910]	2
T:	[14:11:56:673540]	STATE?	R:	[14:11:56:678901]	2
T:	[14:11:56:979782]	STATE?	R:	[14:11:57:005650]	2
T:	[14:11:57:284165]	STATE?	R:	[14:11:57:289395]	2
T:	[14:11:57:598697]	STATE?	R:	[14:11:57:619366]	2
T:	[14:11:57:901770]	STATE?	R:	[14:11:57:901913]	2
T:	[14:11:58:213325]	STATE?	R:	[14:11:58:223688]	2
T:	[14:11:58:515289]	STATE?	R:	[14:11:58:515523]	2
T:	[14:11:58:820493]	STATE?	R:	[14:11:58:825732]	2
T:	[14:11:59:132474]	STATE?	R:	[14:11:59:152847]	2
T:	[14:11:59:463119]	STATE?	R:	[14:11:59:468433]	2
T:	[14:11:59:769110]	STATE?	R:	[14:11:59:779288]	2
T:	[14:12:00:071065]	STATE?	R:	[14:12:00:086797]	2
T:	[14:12:00:379302]	STATE?	R:	[14:12:00:384538]	2
T:	[14:12:00:689221]	STATE?	R:	[14:12:00:689368]	2
T:	[14:12:00:998448]	STATE?	R:	[14:12:01:008838]	2
T:	[14:12:01:310307]	STATE?	R:	[14:12:01:310534]	2
T:	[14:12:01:618769]	STATE?	R:	[14:12:01:624024]	2
T:	[14:12:01:923584]	STATE?	R:	[14:12:01:933810]	2
T:	[14:12:02:225580]	STATE?	R:	[14:12:02:225720]	2
T:	[14:12:02:534494]	STATE?	R:	[14:12:02:541692]	2
T:	[14:12:02:856025]	STATE?	R:	[14:12:02:856239]	2
T:	[14:12:03:157871]	STATE?	R:	[14:12:03:158015]	2
T:	[14:12:03:459230]	STATE?	R:	[14:12:03:464477]	2
T:	[14:12:03:771420]	STATE?	R:	[14:12:03:771561]	2
T:	[14:12:04:076746]	STATE?	R:	[14:12:04:076880]	2
T:	[14:12:04:379627]	STATE?	R:	[14:12:04:390021]	2
T:	[14:12:04:684127]	STATE?	R:	[14:12:04:689342]	2
T:	[14:12:04:989387]	STATE?	R:	[14:12:04:994608]	2
T:	[14:12:05:291887]	STATE?	R:	[14:12:05:307503]	2
T:	[14:12:05:617814]	STATE?	R:	[14:12:05:617963]	2
T:	[14:12:05:921530]	STATE?	R:	[14:12:05:947073]	2
T:	[14:12:06:233208]	STATE?	R:	[14:12:06:243365]	2
