T:	[04:05:11:082266]	*IDN?	R:	[04:05:11:282369]	ROBOT_PREMO, V1.0
T:	[04:05:11:287703]	DUT_SERIAL_NB?	R:	[04:05:11:624119]	22\07\0912358

T:	[04:05:11:635013]	*IDN_LASER?	R:	[04:05:11:943081]	LASER_MARKER_PREMO, V1.0
T:	[04:05:46:865219]	STATE?	R:	[04:05:46:865351]	0
T:	[04:59:31:880583]	STATE?	R:	[04:59:31:880715]	1
T:	[04:59:31:908054]	STATE?	R:	[04:59:31:913313]	1
T:	[04:59:32:264416]	STATE?	R:	[04:59:32:264546]	1
T:	[04:59:32:295319]	MoveFromInpToHiPot	R:	[04:59:32:822727]	ACK
T:	[04:59:33:131892]	STATE?	R:	[04:59:33:132023]	1
T:	[04:59:33:433619]	STATE?	R:	[04:59:33:433741]	1
T:	[04:59:33:738347]	STATE?	R:	[04:59:33:743637]	1
T:	[04:59:34:044581]	STATE?	R:	[04:59:34:054941]	1
T:	[04:59:34:354461]	STATE?	R:	[04:59:34:354595]	1
T:	[04:59:34:660607]	STATE?	R:	[04:59:34:666121]	1
T:	[04:59:34:966815]	STATE?	R:	[04:59:34:967008]	1
T:	[04:59:35:270739]	STATE?	R:	[04:59:35:270875]	1
T:	[04:59:35:576233]	STATE?	R:	[04:59:35:576360]	1
T:	[04:59:35:879110]	STATE?	R:	[04:59:35:879302]	1
T:	[04:59:36:180270]	STATE?	R:	[04:59:36:180402]	0
T:	[04:59:36:488685]	STATE?	R:	[04:59:36:488826]	0
T:	[04:59:36:791995]	STATE?	R:	[04:59:36:792128]	0
T:	[04:59:37:101353]	STATE?	R:	[04:59:37:106577]	0
T:	[04:59:37:404752]	STATE?	R:	[04:59:37:404885]	0
T:	[04:59:37:707181]	STATE?	R:	[04:59:37:707321]	0
T:	[04:59:38:013498]	STATE?	R:	[04:59:38:021630]	0
T:	[04:59:38:317436]	STATE?	R:	[04:59:38:317571]	0
T:	[04:59:38:620212]	STATE?	R:	[04:59:38:630727]	0
T:	[04:59:38:926380]	STATE?	R:	[04:59:38:936825]	0
T:	[04:59:39:235463]	STATE?	R:	[04:59:39:245736]	0
T:	[04:59:39:541451]	STATE?	R:	[04:59:39:546747]	0
T:	[04:59:39:858775]	STATE?	R:	[04:59:39:869046]	0
T:	[04:59:40:168273]	STATE?	R:	[04:59:40:188902]	0
T:	[04:59:40:473986]	STATE?	R:	[04:59:40:474128]	0
T:	[04:59:40:778942]	STATE?	R:	[04:59:40:779078]	0
T:	[04:59:41:091352]	STATE?	R:	[04:59:41:118287]	2
T:	[04:59:41:435398]	STATE?	R:	[04:59:41:435538]	2
T:	[04:59:41:741675]	STATE?	R:	[04:59:41:747674]	2
T:	[04:59:42:047514]	STATE?	R:	[04:59:42:063194]	2
T:	[04:59:42:350333]	STATE?	R:	[04:59:42:355595]	3
T:	[04:59:42:655770]	STATE?	R:	[04:59:42:660985]	3
T:	[04:59:42:959745]	STATE?	R:	[04:59:42:970348]	3
T:	[04:59:43:304223]	STATE?	R:	[04:59:43:304358]	3
T:	[04:59:43:608695]	STATE?	R:	[04:59:43:613909]	3
T:	[04:59:43:913080]	STATE?	R:	[04:59:43:913209]	3
T:	[04:59:44:214452]	STATE?	R:	[04:59:44:214579]	3
T:	[04:59:44:520412]	STATE?	R:	[04:59:44:520551]	3
T:	[04:59:44:834875]	STATE?	R:	[04:59:44:840172]	3
T:	[04:59:45:140766]	STATE?	R:	[04:59:45:151005]	3
T:	[04:59:45:446303]	STATE?	R:	[04:59:45:446587]	3
T:	[04:59:45:752360]	STATE?	R:	[04:59:45:752708]	3
T:	[04:59:46:058483]	STATE?	R:	[04:59:46:058620]	3
T:	[04:59:46:360618]	STATE?	R:	[04:59:46:360741]	3
T:	[04:59:46:666610]	STATE?	R:	[04:59:46:671830]	3
