T:	[16:23:02:990475]	*IDN?	R:	[16:23:03:274072]	ROBOT_PREMO, V1.0
T:	[16:23:03:279440]	DUT_SERIAL_NB?	R:	[16:23:03:520177]	22\07\0912358

T:	[16:23:03:544265]	*IDN_LASER?	R:	[16:23:03:759591]	LASER_MARKER_PREMO, V1.0
T:	[16:23:38:528516]	STATE?	R:	[16:23:38:528695]	0
T:	[16:27:43:369064]	STATE?	R:	[16:27:43:399970]	0
T:	[16:27:43:410355]	STATE?	R:	[16:27:43:415837]	0
T:	[16:27:43:722930]	STATE?	R:	[16:27:43:723106]	0
T:	[16:27:44:025534]	STATE?	R:	[16:27:44:030869]	0
T:	[16:27:44:329334]	STATE?	R:	[16:27:44:334602]	0
T:	[16:27:44:632902]	STATE?	R:	[16:27:44:633085]	0
T:	[16:27:44:956709]	STATE?	R:	[16:27:44:956969]	0
T:	[16:27:45:273429]	STATE?	R:	[16:27:45:273610]	0
T:	[16:27:45:587623]	STATE?	R:	[16:27:45:608292]	0
T:	[16:27:45:891931]	STATE?	R:	[16:27:45:897181]	0
T:	[16:27:46:206612]	STATE?	R:	[16:27:46:206794]	0
T:	[16:27:46:509448]	STATE?	R:	[16:27:46:509629]	0
T:	[16:27:46:813932]	STATE?	R:	[16:27:46:859911]	0
T:	[16:27:47:115815]	STATE?	R:	[16:27:47:116121]	0
T:	[16:27:47:430335]	STATE?	R:	[16:27:47:435580]	0
T:	[16:27:47:740122]	STATE?	R:	[16:27:47:751072]	0
T:	[16:27:48:051914]	STATE?	R:	[16:27:48:067789]	0
T:	[16:27:48:363283]	STATE?	R:	[16:27:48:363458]	0
T:	[16:27:48:669281]	STATE?	R:	[16:27:48:669657]	0
T:	[16:27:48:972663]	STATE?	R:	[16:27:48:972857]	0
T:	[16:27:49:356975]	STATE?	R:	[16:27:49:367137]	0
T:	[16:27:49:674226]	STATE?	R:	[16:27:49:674440]	0
T:	[16:27:49:978453]	STATE?	R:	[16:27:49:978653]	0
T:	[16:27:50:306922]	STATE?	R:	[16:27:50:322543]	0
T:	[16:27:50:610408]	STATE?	R:	[16:27:50:610595]	0
T:	[16:27:50:912501]	STATE?	R:	[16:27:50:912665]	0
T:	[16:27:51:223141]	STATE?	R:	[16:27:51:223304]	0
T:	[16:27:51:524793]	STATE?	R:	[16:27:51:524948]	0
T:	[16:27:51:828358]	STATE?	R:	[16:27:51:838686]	0
T:	[16:27:52:134594]	STATE?	R:	[16:27:52:140075]	0
T:	[16:27:52:449937]	STATE?	R:	[16:27:52:455176]	0
T:	[16:27:52:760662]	STATE?	R:	[16:27:52:766250]	0
T:	[16:27:53:061710]	STATE?	R:	[16:27:53:061931]	0
T:	[16:27:53:366894]	STATE?	R:	[16:27:53:377763]	0
T:	[16:27:53:673599]	STATE?	R:	[16:27:53:678866]	0
T:	[16:27:53:975370]	STATE?	R:	[16:27:53:985948]	0
T:	[16:27:54:313198]	STATE?	R:	[16:27:54:313393]	0
T:	[16:27:54:623649]	STATE?	R:	[16:27:54:628999]	1
T:	[16:27:54:999951]	STATE?	R:	[16:27:55:010287]	1
T:	[16:27:55:010450]	MoveFromInpToHiPot	R:	[16:27:55:352876]	ACK
T:	[16:27:55:662467]	STATE?	R:	[16:27:55:662661]	1
T:	[16:27:55:967779]	STATE?	R:	[16:27:55:973062]	1
T:	[16:27:56:279297]	STATE?	R:	[16:27:56:291823]	1
T:	[16:27:56:585534]	STATE?	R:	[16:27:56:590830]	1
T:	[16:27:56:889266]	STATE?	R:	[16:27:56:894553]	1
T:	[16:27:57:195207]	STATE?	R:	[16:27:57:195415]	1
T:	[16:27:57:496970]	STATE?	R:	[16:27:57:503204]	1
T:	[16:27:57:801924]	STATE?	R:	[16:27:57:812873]	1
T:	[16:27:58:118626]	STATE?	R:	[16:27:58:129480]	1
T:	[16:27:58:423431]	STATE?	R:	[16:27:58:423623]	1
T:	[16:27:58:730410]	STATE?	R:	[16:27:58:735887]	0
T:	[16:27:59:034297]	STATE?	R:	[16:27:59:034508]	0
T:	[16:27:59:341336]	STATE?	R:	[16:27:59:351712]	0
T:	[16:27:59:645888]	STATE?	R:	[16:27:59:646102]	0
T:	[16:27:59:950556]	STATE?	R:	[16:27:59:951035]	0
T:	[16:28:00:257002]	STATE?	R:	[16:28:00:262337]	0
T:	[16:28:00:571533]	STATE?	R:	[16:28:00:581950]	0
T:	[16:28:00:890734]	STATE?	R:	[16:28:00:890932]	0
T:	[16:28:01:198845]	STATE?	R:	[16:28:01:199087]	0
T:	[16:28:01:504358]	STATE?	R:	[16:28:01:514817]	0
T:	[16:28:01:805652]	STATE?	R:	[16:28:01:810965]	0
T:	[16:28:02:108097]	STATE?	R:	[16:28:02:118456]	0
T:	[16:28:02:409959]	STATE?	R:	[16:28:02:415234]	0
T:	[16:28:02:713178]	STATE?	R:	[16:28:02:718449]	0
T:	[16:28:03:016743]	STATE?	R:	[16:28:03:022151]	0
T:	[16:28:03:328148]	STATE?	R:	[16:28:03:333506]	0
T:	[16:28:03:633393]	STATE?	R:	[16:28:03:639054]	0
T:	[16:28:03:936263]	STATE?	R:	[16:28:03:941546]	2
T:	[16:28:04:249147]	STATE?	R:	[16:28:04:265014]	2
T:	[16:28:04:570936]	STATE?	R:	[16:28:04:581464]	2
T:	[16:28:04:873720]	STATE?	R:	[16:28:04:873882]	2
T:	[16:28:05:179754]	STATE?	R:	[16:28:05:179915]	2
T:	[16:28:05:484244]	STATE?	R:	[16:28:05:515069]	2
T:	[16:28:05:806309]	STATE?	R:	[16:28:05:811579]	2
T:	[16:28:06:112817]	STATE?	R:	[16:28:06:132279]	2
T:	[16:28:06:418267]	STATE?	R:	[16:28:06:423528]	2
T:	[16:28:06:729801]	STATE?	R:	[16:28:06:740259]	2
T:	[16:28:07:066010]	STATE?	R:	[16:28:07:066202]	2
T:	[16:28:07:369554]	STATE?	R:	[16:28:07:395486]	2
T:	[16:28:07:673931]	STATE?	R:	[16:28:07:679207]	2
T:	[16:28:07:977590]	STATE?	R:	[16:28:07:982864]	2
T:	[16:28:08:293586]	STATE?	R:	[16:28:08:299113]	2
T:	[16:28:08:603977]	STATE?	R:	[16:28:08:609236]	2
T:	[16:28:08:909219]	STATE?	R:	[16:28:08:914459]	2
T:	[16:28:09:210851]	STATE?	R:	[16:28:09:221453]	2
T:	[16:28:09:514338]	STATE?	R:	[16:28:09:519578]	2
T:	[16:28:09:820785]	STATE?	R:	[16:28:09:826073]	2
T:	[16:28:10:129749]	STATE?	R:	[16:28:10:145526]	2
T:	[16:28:10:435096]	STATE?	R:	[16:28:10:435280]	2
