T:	[11:17:47:396709]	*IDN?	R:	[11:17:47:554267]	ROBOT_PREMO, V1.0
T:	[11:17:47:575355]	*IDN_LASER?	R:	[11:17:47:897516]	LASER_MARKER_PREMO, V1.0
T:	[11:18:19:402863]	STATE?	R:	[11:18:19:408220]	0
T:	[11:23:24:724806]	STATE?	R:	[11:23:24:730310]	0
T:	[11:23:24:755936]	STATE?	R:	[11:23:24:766172]	0
T:	[11:23:25:057893]	STATE?	R:	[11:23:25:058032]	0
T:	[11:23:25:360445]	STATE?	R:	[11:23:25:360786]	0
T:	[11:23:25:666650]	STATE?	R:	[11:23:25:682187]	0
T:	[11:23:25:983285]	STATE?	R:	[11:23:25:983424]	0
T:	[11:23:26:285628]	STATE?	R:	[11:23:26:290850]	0
T:	[11:23:26:590705]	STATE?	R:	[11:23:26:616619]	0
T:	[11:23:26:898440]	STATE?	R:	[11:23:26:898613]	0
T:	[11:23:27:206531]	STATE?	R:	[11:23:27:217033]	0
T:	[11:23:27:519089]	STATE?	R:	[11:23:27:529722]	0
T:	[11:23:27:825023]	STATE?	R:	[11:23:27:840385]	0
T:	[11:23:28:131008]	STATE?	R:	[11:23:28:136240]	1
T:	[11:23:28:436895]	STATE?	R:	[11:23:28:462242]	1
T:	[11:23:28:482658]	DUT_SERIAL_NB?	R:	[11:23:28:757289]	22\07\0912358

T:	[11:23:29:089213]	STATE?	R:	[11:23:29:089425]	1
T:	[11:23:29:105389]	MoveFromInpToHiPot	R:	[11:23:29:201590]	ACK
T:	[11:23:29:509484]	STATE?	R:	[11:23:29:514699]	1
T:	[11:23:29:812565]	STATE?	R:	[11:23:29:812688]	1
T:	[11:23:30:134170]	STATE?	R:	[11:23:30:134310]	1
T:	[11:23:30:442265]	STATE?	R:	[11:23:30:442410]	1
T:	[11:23:30:745767]	STATE?	R:	[11:23:30:750980]	1
T:	[11:23:31:058087]	STATE?	R:	[11:23:31:058222]	1
T:	[11:23:31:362111]	STATE?	R:	[11:23:31:362244]	1
T:	[11:23:31:664649]	STATE?	R:	[11:23:31:664777]	1
T:	[11:23:31:970643]	STATE?	R:	[11:23:31:975874]	1
T:	[11:23:32:273054]	STATE?	R:	[11:23:32:278308]	0
T:	[11:23:32:578570]	STATE?	R:	[11:23:32:583784]	0
T:	[11:23:32:884894]	STATE?	R:	[11:23:32:890256]	0
T:	[11:23:33:191034]	STATE?	R:	[11:23:33:191161]	0
T:	[11:23:33:498157]	STATE?	R:	[11:23:33:498299]	0
T:	[11:23:33:803124]	STATE?	R:	[11:23:33:803251]	0
T:	[11:23:34:109837]	STATE?	R:	[11:23:34:115106]	0
T:	[11:23:34:410951]	STATE?	R:	[11:23:34:428493]	0
T:	[11:23:34:713007]	STATE?	R:	[11:23:34:718219]	0
T:	[11:23:35:019140]	STATE?	R:	[11:23:35:019277]	0
T:	[11:23:35:322970]	STATE?	R:	[11:23:35:323108]	0
T:	[11:23:35:628302]	STATE?	R:	[11:23:35:633511]	0
T:	[11:23:35:933731]	STATE?	R:	[11:23:35:939037]	0
T:	[11:23:36:235976]	STATE?	R:	[11:23:36:236101]	0
T:	[11:23:36:540125]	STATE?	R:	[11:23:36:540261]	0
T:	[11:23:36:843789]	STATE?	R:	[11:23:36:854299]	0
T:	[11:23:37:148377]	STATE?	R:	[11:23:37:159021]	0
T:	[11:23:37:459082]	STATE?	R:	[11:23:37:464282]	3
T:	[11:23:37:776780]	STATE?	R:	[11:23:37:807498]	3
T:	[11:23:38:096944]	STATE?	R:	[11:23:38:102157]	3
T:	[11:23:38:398850]	STATE?	R:	[11:23:38:404486]	3
T:	[11:23:38:713065]	STATE?	R:	[11:23:38:713192]	3
T:	[11:23:39:019311]	STATE?	R:	[11:23:39:019445]	3
T:	[11:23:39:322415]	STATE?	R:	[11:23:39:327612]	3
T:	[11:23:39:635024]	STATE?	R:	[11:23:39:635616]	3
T:	[11:23:39:946368]	STATE?	R:	[11:23:39:956654]	3
T:	[11:23:40:261331]	STATE?	R:	[11:23:40:262493]	3
T:	[11:23:40:564634]	STATE?	R:	[11:23:40:564766]	3
T:	[11:23:40:873661]	STATE?	R:	[11:23:40:878863]	3
T:	[11:23:41:180395]	STATE?	R:	[11:23:41:180577]	3
T:	[11:23:41:503834]	STATE?	R:	[11:23:41:509052]	3
T:	[11:23:41:819953]	STATE?	R:	[11:23:41:825172]	3
T:	[11:23:42:122652]	STATE?	R:	[11:23:42:138399]	3
T:	[11:23:42:426205]	STATE?	R:	[11:23:42:431442]	3
T:	[11:23:42:730301]	STATE?	R:	[11:23:42:730433]	3
T:	[11:23:43:035266]	STATE?	R:	[11:23:43:040499]	3
T:	[11:23:43:346741]	STATE?	R:	[11:23:43:346878]	3
T:	[11:23:43:673010]	STATE?	R:	[11:23:43:673146]	3
T:	[11:23:43:979426]	STATE?	R:	[11:23:43:979567]	3
T:	[11:23:44:282571]	STATE?	R:	[11:23:44:287880]	3
T:	[11:23:44:594408]	STATE?	R:	[11:23:44:594588]	3
T:	[11:23:44:895548]	STATE?	R:	[11:23:44:895863]	3
T:	[11:23:45:202942]	STATE?	R:	[11:23:45:208644]	3
T:	[11:23:45:506315]	STATE?	R:	[11:23:45:506451]	3
T:	[11:23:45:809747]	STATE?	R:	[11:23:45:809924]	3
T:	[11:23:46:125052]	STATE?	R:	[11:23:46:125186]	3
T:	[11:23:46:448171]	STATE?	R:	[11:23:46:448312]	3
T:	[11:23:46:758463]	STATE?	R:	[11:23:46:763682]	3
T:	[11:23:47:061215]	STATE?	R:	[11:23:47:076956]	3
T:	[11:23:47:369375]	STATE?	R:	[11:23:47:379617]	3
T:	[11:23:47:673143]	STATE?	R:	[11:23:47:673274]	3
T:	[11:23:47:979040]	STATE?	R:	[11:23:48:000139]	3
T:	[11:23:48:293649]	STATE?	R:	[11:23:48:298930]	3
T:	[11:23:48:595042]	STATE?	R:	[11:23:48:600249]	3
T:	[11:23:48:903313]	STATE?	R:	[11:23:48:908703]	3
T:	[11:23:49:223399]	STATE?	R:	[11:23:49:223541]	3
T:	[11:23:49:525808]	STATE?	R:	[11:23:49:536447]	3
T:	[11:23:49:844177]	STATE?	R:	[11:23:49:851327]	3
T:	[11:23:49:871944]	MoveFromHiPotToLCR	R:	[11:23:49:954789]	ACK
T:	[11:23:50:259585]	STATE?	R:	[11:23:50:259731]	3
T:	[11:23:50:562038]	STATE?	R:	[11:23:50:567272]	3
T:	[11:23:50:869855]	STATE?	R:	[11:23:50:880144]	3
T:	[11:23:51:172118]	STATE?	R:	[11:23:51:177510]	3
T:	[11:23:51:478849]	STATE?	R:	[11:23:51:484911]	3
T:	[11:23:51:784079]	STATE?	R:	[11:23:51:784415]	3
T:	[11:23:52:096518]	STATE?	R:	[11:23:52:112089]	3
T:	[11:23:52:405381]	STATE?	R:	[11:23:52:415877]	3
T:	[11:23:52:711595]	STATE?	R:	[11:23:52:717056]	3
T:	[11:23:53:019234]	STATE?	R:	[11:23:53:024445]	3
T:	[11:23:53:323229]	STATE?	R:	[11:23:53:328489]	3
T:	[11:23:53:629344]	STATE?	R:	[11:23:53:640627]	3
T:	[11:23:53:932566]	STATE?	R:	[11:23:53:937781]	3
T:	[11:23:54:234017]	STATE?	R:	[11:23:54:239256]	3
T:	[11:23:54:535738]	STATE?	R:	[11:23:54:540972]	3
T:	[11:23:54:837662]	STATE?	R:	[11:23:54:842885]	3
T:	[11:23:55:141542]	STATE?	R:	[11:23:55:146771]	3
T:	[11:23:55:458397]	STATE?	R:	[11:23:55:458542]	3
T:	[11:23:55:769611]	STATE?	R:	[11:23:55:769750]	3
T:	[11:23:56:072270]	STATE?	R:	[11:23:56:072409]	3
T:	[11:23:56:377266]	STATE?	R:	[11:23:56:382495]	3
T:	[11:23:56:683333]	STATE?	R:	[11:23:56:683461]	3
T:	[11:23:56:989452]	STATE?	R:	[11:23:56:989583]	3
T:	[11:23:57:295384]	STATE?	R:	[11:23:57:295508]	3
T:	[11:23:57:605410]	STATE?	R:	[11:23:57:605539]	3
T:	[11:23:57:907978]	STATE?	R:	[11:23:57:908145]	3
T:	[11:23:58:214130]	STATE?	R:	[11:23:58:215256]	3
